Tweets,Username,Location,Date
"#Russia #WagnerGroup #WagnerPMC #Prigozhin #Ukraine Prigozhin said that today in Chasov Yar, commander of the Ukrainian territorial defense forces, General Tantsyura was ""De-Militarized"". https://t.co/92Qi3JAQPT",⋆Intent A⋆,None,5/2/23
#WagnerGroup financier Yevgeny #Prigozhin is likely using his rehabilitated standing with Russian leadership to amplify his self-promotion efforts and his longstanding issues with the Russian Ministry of Defense (MoD). https://t.co/PQWXMBcK1l https://t.co/1ET9hnmP62,ISW,Washington D.C.,5/2/23
Really good piece by @thehill on #Russia's #WagnerGroup fanning the flames (or igniting possibly) that are destroying #Sudan. Check it out: https://t.co/9SylBpJrdn,Jason Blazakis,"Washington, DC",5/2/23
How do the men of the Wagner group train and what do they do? Find out in this article which is part of a wider dossier. #Russia #RussiaUkraineWar #WagnerGroup #PMC #contractor #defense #Africa #Ukraine https://t.co/DkrIJ3DRfu,Paolo Mauri,"Lecco, Lombardia",5/2/23
the perfect place for #nazirussians and #WagnerGroup : looking from below at roots of sunflowers 🌻 https://t.co/572JrdwtJT,Heinrich Van Boerenkool,None,5/2/23
"2/ Russians have suffered 100,000 casualties, including 20,000 killed, since a war of attrition intensified in #Ukraine in December, according to an estimate by the White House. He added that about half of those killed were soldiers recruited by the private #WagnerGroup. https://t.co/LqC8uiHOAg",Stop Wagner,Global,5/2/23
"This video is from the last spring, where a #Ukrainian soldier video calls the girlfriend of his counter part, to mock her &amp; laugh at her loss. This soldier is duly confirmed to be Piripchuk Ivanovich, who got captured by #WagnerGroup in oct &amp; now is no longer alive. #Bakhmut https://t.co/DeRpAdedT9",Raisina Centric,None,5/2/23
#wagner game over #PutinIsATerrorist #PutinWarCrimes #putinwarcriminal #RussiaIsANaziState #Putler #WagnerGroup #war #UkraineRussiaWar️ #SlavaUkraïni #NATO https://t.co/xo8XO35bml,Major,None,5/2/23
"However, #Ukraine has suffered fewer casualties compared to #Russian forces. Lately, the #UkrainianArmy has been suffering almost similar casualties to that of #WagnerGroup.",Institute for International Studies Guwahati,Guwahati,5/2/23
"The estimates provided by the US, stating 100,000 casualties of #Russian soldiers and #WagnerGroup in #Bakhmut is a high confidence estimate. However, #Ukraine has also suffered significant casualties.",Institute for International Studies Guwahati,Guwahati,5/2/23
US intelligence: More than 20K #Russia troops killed in 5 months in &amp; near #Bakhmut #WagnerGroup mercenaries hold 85% of city but #Ukraine defense continues Russia casualties 3x greater than battle for Guadacanal in World War 2 #UkraineWar https://t.co/GBTdKS7Edt,Scott Lucas,"Birmingham, UK",5/2/23
"@itsSaraMohamed @ItsqueenKlein @dongyonews @sarahleah1 @wallacemick @AmeenAlharazi @kishineff yeah just to whitewash its image. About fragile states we do know how #UAE created chaos in countries like #Tigray , #Yemen , #Serbia , #Ethiopia , #Libya &amp; now in Sudan by backing Rapid Support Forces along with #Russian mercenary #WagnerGroup .",Ankara Voice,World,5/2/23
"US believes Russians in Ukraine have suffered 100,000 casualties in 5 months #Russianinvasion #Ukraine #UnitedStates #WagnerGroup https://t.co/wozc6FF4tD",EURACTIV,Europe,5/2/23
"Tweet 4 (AI-Defence Analyst): Half of the Russian casualties are reportedly from the Wagner mercenary company. This group, notorious for its often brutal methods, has been at the forefront of the assault on Bakhmut. #WagnerGroup #Mercenaries",DataXLR8.ai,Sydney,5/2/23
"Ukraine war: More than 20,000 Russian troops killed since December, US says https://t.co/OhPGkGqeBl #Ukraine #UkraineRussiaWar️ #UkraineWarNews #UkraineUnderAttaсk #Bakhmut #WagnerGroup #Russia #RussiaInvadedUkraine #US",Gavin in Transit,Wherever I feel like...,5/2/23
@Amir55842693120 Does #putin pay you enough for you to look this stupid? #RussianArmy #ukraine #WagnerGroup,beaka,None,5/2/23
Dead Ukrainian🇺🇦 soldiers in Artyomovsk🇷🇺 and Kremennaya🇷🇺 Great way to start the month of May #RussianArmy #ukraine #WagnerGroup #ZelenskyIsCorrupt #ZelenskyWarCriminal #Bakhmut https://t.co/dwWdirHYdP https://t.co/o4xNljapaN,Amir,"Novi Sad, Republic of Serbia",5/2/23
“#WagnerGroup is not screwing us as hard as before” - Ukraine Officials https://t.co/8O5JFEnVCq,Sanjeev Agrawal,Amdavad / Switzerland,5/2/23
#Denazify #ukraine long live #russia ... #WagnerPMC #WagnerGroup #heroes https://t.co/C5SSfE5Bb4,Al☭X ST.JAMES 🇷🇺 ⚖️,"Dallas, TX",5/2/23
Questions about #WagnerGroup involvement in #Sudan as another African country falls prey to Russian mercenaries. Wagner Group mercenaries are reported to be involved in a number of African countries. #Africa #Russia https://t.co/DZC7Zatqmh,𝐏𝐌𝐏 🌐 𝐌𝐚𝐠𝐚𝐳𝐢𝐧𝐞,‘Reporting News Differently’,5/2/23
"The founder of the private militia, Wagner, said the group could soon disband while leading the assault on Bakhmut in Ukraine and participating in African conflicts. #WagnerGroup #Russia https://t.co/fVETpjoUsq",Calay News,None,5/1/23
Russia’s Wagner Head Renews Call for More Ammunition for Bakhmut Battle Russia controls most of Bakhmut but Ukrainian forces are still holding out in western areas of the city by Dave DeCamp @DecampDave #Russia #Ukraine #Bakhmut #WagnerGroup … https://t.co/aU3p8ZKIes,Play the Man Podcast,The Agora,5/1/23
Russia’s Wagner Head Renews Call for More Ammunition for Bakhmut Battle Russia controls most of Bakhmut but Ukrainian forces are still holding out in western areas of the city by Dave DeCamp @DecampDave #Russia #Ukraine #Bakhmut #WagnerGroup https://t.co/SYW2RV26XY https://t.co/WQDwk0Inbz,Antiwar.com,San Francisco,5/1/23
Russian troops and #WagnerGroup mercenaries killed each other in a shootout after blaming each other for their war failures https://t.co/Nq7031IeaP https://t.co/A9s6WXwBME,Tokar Nazаr,Kyiv,5/1/23
@JamesPorrazzo #RussianFilth proud of their useless tactics. NOBODY in #Ukraine is worried. And yet they cant take #Bakhmut.. I think he is talking SHIT. #Prigozhin #WagnerGroup #SlavaUkraini,Mike Hunt,None,5/1/23
@MaimunkaNews And yet they cant take #Bakhmut.. I think he is talking SHIT. #Prigozhin #WagnerGroup #SlavaUkraini,Mike Hunt,None,5/1/23
@milo_tz @ErnestKavol4 And yet they cant take #Bakhmut.. I think he is talking SHIT. #Prigozhin #WagnerGroup #SlavaUkraini,Mike Hunt,None,5/1/23
@JamesPorrazzo And yet they cant take #Bakhmut.. I think he is talking SHIT. #Prigozhin #WagnerGroup #SlavaUkraini,Mike Hunt,None,5/1/23
@Spriter99880 And yet they cant take #Bakhmut.. I think he is talking SHIT. #Prigozhin #WagnerGroup #SlavaUkraini,Mike Hunt,None,5/1/23
"😊Its fucking impossible 4 the #WagnerPMC #WagnerGroup #Prigozhin 2 capture #Bakhmut in 7 days from now,clearly their master #Putin is still hallucinating in his fantacies.🤞🏾#Russia's dominance with its satelite countries like #Iran #Syria has just reached a dead-end in #ukraine https://t.co/XIclsiFuzy",Zuko Dingiso🇿🇦➡️🌏,"Libode, South Africa",5/1/23
"Prigozhin network involvement in Africa. CAR, Mali, Burkina Faso and Libya are the most active playground for Wagner Group. Graphic by The Washington Post. #Wagner #Russia #WagnerGroup #geopolitics #Velsig #Africa https://t.co/BqTKjGUbq2",Velina Tchakarova,Vienna,5/1/23
"2. Approximately half of these losses are accounted for by the #WagnerGroup. In general, the attack of the invaders on #Bakhmut ended in failure. #Ukraine #Україна #RussiaIsATerroristState #PutinIsaWarCriminal https://t.co/0GPfI9d7oh",Alf Really 🇺🇦🇺🇸🇬🇧🇨🇦🇵🇱🇬🇪🇪🇺🇩🇪🇫🇮,UKRAINE,5/1/23
NATO members must formalize methods of blocking contact with the #WagnerGroup through their international activities. https://t.co/towhFJxpaZ,Black Sea Initiative,"Philadelphia, PA",5/1/23
"U.S. says 20,000+ Russians Killed in Ukraine Since December https://t.co/qUJMeq9Zkw #Russia #Ukraine #UkraineRussiaWar #Russians #Ukrainians #WagnerGroup #Bakhmut #Donetsk #politicaliq #news #politics",POLITICAL IQ,None,5/1/23
"White House says Russia has suffered 100,000 casualties since December with 20,000 killed in eastern Ukraine #RussianCasualties #DonetskRegion #EasternUkraine #UkraineRussiaWar️ #Southend #WhiteHouse #WagnerGroup https://t.co/EU3bSqhx5k",Europa News,"Camber, England",5/1/23
Perhaps one of the more important lessons for countering Wagner and other Russian PMCs is the importance of multilateralism. Read more on the #WagnerGroup https://t.co/tNy2IXUsoP,Foreign Policy Research Institute,Philadelphia PA USA,5/1/23
Russia's Wagner mercenary chief says group could soon 'cease to exist' ‘The leader of Russia's feared #WagnerGroup of #mercenaries has said the firm could soon dissolve as he attacked the Russian military's record on ammunition supplies.’ https://t.co/lsvSUVarqC,Graham Woodbridge,"Nottingham, England",5/1/23
🇷🇺 Wagner PMCs in Artemovsk (formely Bakhmut). Today. #Russia #Russian #Russians #PMC #Wagner #WagnerPMC #Bakhmut #WagnerGroup #PMCWagner https://t.co/WNNzPeoiqL,TheGreyPatriot,"Poznań, Poland",5/1/23
"@MarleneMortler2 @saif_sulaiman80 What is going on in Sudan is relevant for the Ukr war. The #WagnerGroup is active in Sudan, stealing gold to finance the war in Ukraine. #RussiaisATerroistState",MrMarianne 🐏💉🇳🇱🇺🇦🇪🇺,"Ironië, Capital of Sarcastia.",5/1/23
@saif_sulaiman80 The same killers are in both countries: The Wagner Group #WagnerGroup . Russians steal gold in Sudan to finance the war in Ukraine. #RussiaisATerroistState,MrMarianne 🐏💉🇳🇱🇺🇦🇪🇺,"Ironië, Capital of Sarcastia.",5/1/23
"Read more &gt; https://t.co/yjyT0uNjXu . . #AntiViral, #Bakhmut, #CannonFodder, #EthicalConcerns, #HIV, #HumanRights, #InadequateMedicalCare, #MedicalNeglect, #Mercenaries, #Prisoners, #RecruitmentTactics, #Russia, #Ukraine, #WagnerGroup, #Warfare, #WelfareOfPrisoners #WaxMia https://t.co/JdxJ8s2EqX",WaxMia ❎,Internet,5/1/23
"However, #Riyadh &amp; #UAE has become close to General Burhan &amp; has long-standing ties with #Sudanese military. The country's intricate political geography also includes #Egypt , #Israel &amp; #Russia, including #WagnerGroup .@bbclysedoucet @CliveMyrieBBC @hysperbole @RichardHardigan",Vigilance Eye,Everywhere,5/1/23
Russia blames Ukraine drone attack for major Crimea fuel depot fire #BlackSea #Crimea #Russianinvasion #Ukraine #WagnerGroup https://t.co/4caH9jKrnT,EURACTIV,Europe,5/1/23
Ukraine likely staging 'tactical withdrawal' in Bakhmut; Russian mercenary chief's rift with officials deepens https://t.co/00nJoGdgaF #Wagner #WagnerGroup #yevgenyprigozhin #Bakhmut #Donetsk #Kyiv #Russia #ukraine #Putin #Zelensky @RT_com @MoscowTimes @ChannelOneNews #Kremlin,Indian Advocate,None,5/1/23
The head of #Russia’s #WagnerGroup threatens to withdraw his troops from the key battle for #Bakhmut as casualty rates mount while #Ukraine’s military authorities say Russian forces have been unable to cut their supply routes to the front-line city. https://t.co/rZHBKnPWxC,Venus Throw,Manna-hata,5/1/23
"#SudanUprising 30 April 2023 #Janjaweed and #WagnerGroup operatives suspected of activity in Salmeen village, Gedaref. Documentation sought. [Wagner Group has presence in CAR/Centrafrique and may have also moved in through Ethiopia.] https://t.co/qBgIeurN6x",ChristineKaratnytsky,New York,5/1/23
Strike 💥 #SpecialMilitaryOperation #СВО #Россия #zov #cилаVправде #СвоихНеБросаем #ZаНаших #ZаМир #НеZабудем #ГероиZ #ZаПацаноV #АрмияZ #ZaПобеду #ZаканчиваемVойны #UkraineRussiaWar️ #wagner #sniper #снайпер #WagnerGroup #WagnerPMC #jambo #Вагнер https://t.co/N1Fsu3ZJVa,йода,None,4/30/23
"#Biden,#Environment #standards@#Bauxite(#Guinea,#Brazil,#Indonesia),#Lithium(#Chile),#Nickel(#Indonesia),#Cobalt(#Congo),#Manganese(#Gabon,#SouthAfrica)&amp;2AVOID #ResourceCurse(∴#political #instability/#Putin/#WagnerGroup THRIVE)'reKEY.#China backsPutin@#military→#Ukraine'llFALL! https://t.co/OWRLu2E1MY https://t.co/fV6pjVb97q",Gatito Inmeegrante,United States,4/30/23
@Libertarian196 #WagnerGroup fighters recover a huge warehouse of #weapons and #ammunition at #Soledar salt mine https://t.co/cbIgsM4Wsn,joydeep ghosh,"Hyderabad, Telangana",4/30/23
Two #killed in #Ukrainian #strike on #F4F #FollowMe #FollowBack #FollowForFollow #rtitbot #RT #Follow #mJmNews https://t.co/X6folt8nGO #crimea #mjmnews #mjmnewstoday #russia #ukraine #vladimirputin #volodymyrzelensky #wagnergroup #war,mJm News,United States,4/30/23
"High resolution wallpaper, to your device #wallpaper #обои #wagner #WagnerGroup #Вагнер 😎🤙 https://t.co/qYwO9pbHns",идиотиZм 😎🤙,"Москва, Россия",4/30/23
@VictorKanyense Thats why #WagnerGroup are supporting the rapid respons group in Sudan?,🇧🇻Fenrisulven🇧🇻,Galdhøpiggen,4/30/23
Superpowers wrestling in #Sudan Russia’s Wagner Group backs General Mohammad Hamdan Dagalo’s Rapid Support Forces (RSF). US backed Army Chief Abdel Fatah Al-burhan fighting back. Sudan has vast gold reserves. 450 people dead in 15 days. #Russia #US #WagnerGroup https://t.co/6YLamAK2rc,Citizen Journalist,None,4/30/23
"#Sudan Many fear, the conflict implications 4 the region would be dire - ethnic militias, anti-government insurgencies, paramilitary groups &amp; #WagnerGroup operating in porous, mineral-rich borderlands could use crisis to launch attacks &amp; foment rebellions. https://t.co/JUMmw9yjdy",#XV81,Barbados,4/30/23
Russia's Wagner boss threatens Bakhmut withdrawal due to lack of shells #yevgenyprigozhin #wagnergroup #bakhmut #prigozhin #ukraine #russian https://t.co/TcmD2R4SBZ,Upstract News,None,4/30/23
